congress,chamber,rollnumber,icpsr,cast_code,prob
80,Senate,1,52,1,99.8
80,Senate,1,390,1,100.0
80,Senate,1,394,1,100.0
80,Senate,1,437,6,40.8
80,Senate,1,1027,1,100.0
80,Senate,1,1071,1,100.0
80,Senate,1,1194,1,100.0
80,Senate,1,1330,1,92.6
80,Senate,1,1489,1,100.0
80,Senate,1,1494,1,60.6
80,Senate,1,2066,7,98.5
80,Senate,1,2656,1,99.5
80,Senate,1,2702,1,46.4
80,Senate,1,2822,6,98.2
80,Senate,1,2901,6,98.0
80,Senate,1,3110,1,100.0
80,Senate,1,3388,1,6.4
80,Senate,1,3536,6,44.6
80,Senate,1,3783,1,69.3
80,Senate,1,3882,1,99.8
80,Senate,1,4184,6,49.2
80,Senate,1,4210,1,100.0
80,Senate,1,4227,6,53.1
80,Senate,1,4382,1,100.0
80,Senate,1,4418,6,93.2
80,Senate,1,4483,6,70.6
80,Senate,1,4949,6,62.8
80,Senate,1,5009,6,97.5
80,Senate,1,5823,6,21.8
80,Senate,1,5913,7,44.8
80,Senate,1,5944,7,86.0
80,Senate,1,6021,7,100.0
80,Senate,1,6107,6,95.8
80,Senate,1,6132,6,76.2
80,Senate,1,6151,6,97.5
80,Senate,1,6346,1,86.9
80,Senate,1,6525,1,99.8
80,Senate,1,6629,1,95.5
80,Senate,1,6820,6,62.6
80,Senate,1,6836,1,70.5
80,Senate,1,7021,6,96.4
80,Senate,1,7126,6,82.3
80,Senate,1,7333,1,37.1
80,Senate,1,7780,1,99.7
80,Senate,1,7826,1,99.3
80,Senate,1,7960,1,90.7
80,Senate,1,8138,6,98.2
80,Senate,1,8185,1,100.0
80,Senate,1,8929,6,91.8
80,Senate,1,9152,1,100.0
80,Senate,1,9210,1,47.7
80,Senate,1,9291,1,50.7
80,Senate,1,9303,6,79.7
80,Senate,1,9401,1,100.0
80,Senate,1,9538,1,93.0
80,Senate,1,9713,1,80.6
80,Senate,1,9998,1,99.8
80,Senate,1,10047,1,100.0
80,Senate,1,10110,1,100.0
80,Senate,1,10221,1,92.2
80,Senate,1,10450,1,93.6
80,Senate,1,96738,1,98.2
80,Senate,2,52,1,99.9
80,Senate,2,390,1,100.0
80,Senate,2,394,1,100.0
80,Senate,2,437,6,35.6
80,Senate,2,1027,1,100.0
80,Senate,2,1071,1,100.0
80,Senate,2,1194,1,100.0
80,Senate,2,1330,1,91.2
80,Senate,2,1489,1,100.0
80,Senate,2,1494,1,60.9
80,Senate,2,2066,7,98.7
80,Senate,2,2656,1,99.6
80,Senate,2,2702,1,52.5
80,Senate,2,2822,6,97.6
80,Senate,2,2901,6,97.1
80,Senate,2,3110,1,100.0
80,Senate,2,3388,1,9.3
80,Senate,2,3536,6,39.6
80,Senate,2,3783,1,73.7
80,Senate,2,3882,1,99.8
80,Senate,2,4184,6,43.3
80,Senate,2,4210,1,100.0
80,Senate,2,4227,6,47.1
80,Senate,2,4382,1,100.0
80,Senate,2,4418,6,90.3
80,Senate,2,4483,6,66.1
80,Senate,2,4949,6,58.4
80,Senate,2,5009,6,96.2
80,Senate,2,5823,1,81.7
80,Senate,2,5913,7,39.2
80,Senate,2,5944,7,85.8
80,Senate,2,6021,7,100.0
80,Senate,2,6107,6,94.0
80,Senate,2,6132,6,73.0
80,Senate,2,6151,6,96.6
80,Senate,2,6346,1,89.2
80,Senate,2,6525,1,99.9
80,Senate,2,6629,1,93.5
80,Senate,2,6820,1,43.4
80,Senate,2,6836,1,74.3
80,Senate,2,7021,6,96.3
80,Senate,2,7126,6,78.4
80,Senate,2,7333,1,43.1
80,Senate,2,7780,1,99.7
80,Senate,2,7826,1,99.3
80,Senate,2,7960,1,90.2
80,Senate,2,8138,6,97.6
80,Senate,2,8185,1,100.0
80,Senate,2,8929,6,89.1
80,Senate,2,9152,1,100.0
80,Senate,2,9210,1,50.0
80,Senate,2,9291,6,43.4
80,Senate,2,9303,6,74.8
80,Senate,2,9401,1,100.0
80,Senate,2,9538,1,94.5
80,Senate,2,9713,1,83.3
80,Senate,2,9998,1,99.7
80,Senate,2,10047,1,100.0
80,Senate,2,10110,1,100.0
80,Senate,2,10221,1,92.4
80,Senate,2,10450,1,94.4
80,Senate,2,96738,1,98.7
80,Senate,3,52,1,55.0
80,Senate,3,390,6,73.4
80,Senate,3,394,6,80.3
80,Senate,3,437,1,90.2
80,Senate,3,1027,6,85.5
80,Senate,3,1071,6,74.7
80,Senate,3,1194,6,74.5
80,Senate,3,1330,7,53.9
80,Senate,3,1489,6,77.0
80,Senate,3,1494,1,85.9
80,Senate,3,2066,7,36.6
80,Senate,3,2656,6,42.4
80,Senate,3,2702,1,94.6
80,Senate,3,2822,1,99.2
80,Senate,3,2901,1,99.3
80,Senate,3,3110,6,88.6
80,Senate,3,3388,1,98.2
80,Senate,3,3536,7,94.4
80,Senate,3,3783,6,11.9
80,Senate,3,3882,6,47.8
80,Senate,3,4184,1,94.2
80,Senate,3,4210,1,24.4
80,Senate,3,4227,7,94.9
80,Senate,3,4382,6,80.9
80,Senate,3,4418,1,98.6
80,Senate,3,4483,1,96.9
80,Senate,3,4949,1,96.0
80,Senate,3,5009,1,99.3
80,Senate,3,5823,1,85.5
80,Senate,3,5913,7,92.2
80,Senate,3,5944,7,27.1
80,Senate,3,6021,7,91.5
80,Senate,3,6107,1,99.1
80,Senate,3,6132,1,96.9
80,Senate,3,6151,1,99.1
80,Senate,3,6346,1,78.0
80,Senate,3,6525,1,46.1
80,Senate,3,6629,6,78.1
80,Senate,3,6820,7,93.4
80,Senate,3,6836,1,83.7
80,Senate,3,7021,7,97.5
80,Senate,3,7126,1,97.9
80,Senate,3,7333,1,93.6
80,Senate,3,7780,1,44.6
80,Senate,3,7826,1,54.4
80,Senate,3,7960,6,36.5
80,Senate,3,8138,1,99.3
80,Senate,3,8185,1,36.0
80,Senate,3,8929,1,98.7
80,Senate,3,9152,1,11.1
80,Senate,3,9210,1,68.4
80,Senate,3,9291,7,93.2
80,Senate,3,9303,1,97.8
80,Senate,3,9401,6,56.3
80,Senate,3,9538,7,81.2
80,Senate,3,9713,7,76.1
80,Senate,3,9998,6,80.3
80,Senate,3,10047,1,25.5
80,Senate,3,10110,6,56.9
80,Senate,3,10221,1,71.2
80,Senate,3,10450,6,23.2
80,Senate,3,96738,6,36.1
80,Senate,4,52,1,45.2
80,Senate,4,390,6,98.3
80,Senate,4,394,6,99.5
80,Senate,4,437,1,100.0
80,Senate,4,1021,6,99.6
80,Senate,4,1024,6,100.0
80,Senate,4,1027,6,100.0
80,Senate,4,1071,6,100.0
80,Senate,4,1194,6,100.0
80,Senate,4,1330,6,100.0
80,Senate,4,1338,6,100.0
80,Senate,4,1365,1,31.3
80,Senate,4,1395,6,99.9
80,Senate,4,1489,6,100.0
80,Senate,4,1494,6,91.7
80,Senate,4,1678,1,100.0
80,Senate,4,1986,1,100.0
80,Senate,4,2052,1,42.5
80,Senate,4,2066,6,94.3
80,Senate,4,2656,6,93.2
80,Senate,4,2702,1,100.0
80,Senate,4,2803,6,100.0
80,Senate,4,2822,1,96.5
80,Senate,4,2838,6,100.0
80,Senate,4,2901,1,99.9
80,Senate,4,3110,6,100.0
80,Senate,4,3206,6,96.6
80,Senate,4,3388,1,100.0
80,Senate,4,3536,1,99.2
80,Senate,4,3783,1,100.0
80,Senate,4,3882,6,95.7
80,Senate,4,4184,1,100.0
80,Senate,4,4210,6,100.0
80,Senate,4,4227,1,100.0
80,Senate,4,4382,6,100.0
80,Senate,4,4418,1,100.0
80,Senate,4,4483,1,98.0
80,Senate,4,4520,1,95.8
80,Senate,4,4834,6,68.7
80,Senate,4,4922,6,100.0
80,Senate,4,4949,1,95.2
80,Senate,4,5009,1,100.0
80,Senate,4,5158,6,100.0
80,Senate,4,5240,1,100.0
80,Senate,4,5343,6,98.6
80,Senate,4,5452,6,7.9
80,Senate,4,5739,6,82.3
80,Senate,4,5823,1,100.0
80,Senate,4,5913,1,100.0
80,Senate,4,5944,6,98.5
80,Senate,4,6021,6,100.0
80,Senate,4,6107,1,100.0
80,Senate,4,6132,1,87.8
80,Senate,4,6137,6,99.2
80,Senate,4,6151,1,96.9
80,Senate,4,6242,1,100.0
80,Senate,4,6260,1,100.0
80,Senate,4,6293,1,100.0
80,Senate,4,6346,1,100.0
80,Senate,4,6525,6,99.0
80,Senate,4,6629,6,100.0
80,Senate,4,6820,1,100.0
80,Senate,4,6836,1,100.0
80,Senate,4,7020,1,96.5
80,Senate,4,7021,6,68.2
80,Senate,4,7070,1,100.0
80,Senate,4,7126,3,99.4
80,Senate,4,7333,1,100.0
80,Senate,4,7780,7,99.8
80,Senate,4,7826,6,98.8
80,Senate,4,7958,1,85.0
80,Senate,4,7960,6,99.7
80,Senate,4,8138,1,97.8
80,Senate,4,8185,6,94.9
80,Senate,4,8635,6,95.5
80,Senate,4,8764,1,100.0
80,Senate,4,8929,1,99.9
80,Senate,4,9152,6,100.0
80,Senate,4,9210,1,100.0
80,Senate,4,9291,1,100.0
80,Senate,4,9303,1,100.0
80,Senate,4,9374,6,79.0
80,Senate,4,9401,1,35.0
80,Senate,4,9538,1,99.2
80,Senate,4,9552,1,99.9
80,Senate,4,9604,6,95.2
80,Senate,4,9713,7,100.0
80,Senate,4,9865,6,99.9
80,Senate,4,9998,6,100.0
80,Senate,4,10047,6,99.9
80,Senate,4,10110,6,92.4
80,Senate,4,10163,6,100.0
80,Senate,4,10221,6,97.2
80,Senate,4,10450,6,78.0
80,Senate,4,96738,1,99.2
80,Senate,5,52,1,86.6
80,Senate,5,390,1,99.9
80,Senate,5,394,1,100.0
80,Senate,5,437,6,100.0
80,Senate,5,1021,1,100.0
80,Senate,5,1024,1,100.0
80,Senate,5,1027,1,100.0
80,Senate,5,1071,1,100.0
80,Senate,5,1194,1,100.0
80,Senate,5,1330,1,100.0
80,Senate,5,1338,1,100.0
80,Senate,5,1365,6,43.3
80,Senate,5,1395,1,100.0
80,Senate,5,1489,1,100.0
80,Senate,5,1494,1,84.3
80,Senate,5,1678,6,100.0
80,Senate,5,1986,6,100.0
80,Senate,5,2052,1,87.3
80,Senate,5,2066,1,96.3
80,Senate,5,2656,1,97.1
80,Senate,5,2702,6,100.0
80,Senate,5,2803,1,100.0
80,Senate,5,2822,6,99.3
80,Senate,5,2838,1,99.9
80,Senate,5,2901,6,100.0
80,Senate,5,3110,1,100.0
80,Senate,5,3206,1,99.9
80,Senate,5,3388,6,100.0
80,Senate,5,3536,6,98.8
80,Senate,5,3783,6,100.0
80,Senate,5,3882,1,98.5
80,Senate,5,4184,6,100.0
80,Senate,5,4210,1,100.0
80,Senate,5,4227,6,100.0
80,Senate,5,4382,1,100.0
80,Senate,5,4418,6,100.0
80,Senate,5,4483,6,98.7
80,Senate,5,4520,6,97.3
80,Senate,5,4834,1,97.3
80,Senate,5,4922,1,100.0
80,Senate,5,4949,6,96.4
80,Senate,5,5009,6,100.0
80,Senate,5,5158,1,100.0
80,Senate,5,5240,6,100.0
80,Senate,5,5343,1,99.9
80,Senate,5,5452,6,92.3
80,Senate,5,5739,1,99.0
80,Senate,5,5823,6,100.0
80,Senate,5,5913,6,100.0
80,Senate,5,5944,1,97.0
80,Senate,5,6021,1,100.0
80,Senate,5,6107,6,100.0
80,Senate,5,6132,6,93.1
80,Senate,5,6137,1,99.6
80,Senate,5,6151,6,99.3
80,Senate,5,6242,6,100.0
80,Senate,5,6260,6,100.0
80,Senate,5,6293,6,100.0
80,Senate,5,6346,6,99.9
80,Senate,5,6525,1,99.6
80,Senate,5,6629,1,100.0
