congress,chamber,rollnumber,icpsr,cast_code,prob
76,Senate,1,22,1,98.0
76,Senate,1,193,3,99.8
76,Senate,1,273,1,98.6
76,Senate,1,296,1,76.8
76,Senate,1,349,1,91.8
76,Senate,1,404,1,99.3
76,Senate,1,425,1,73.8
76,Senate,1,437,1,97.0
76,Senate,1,710,1,100.0
76,Senate,1,843,1,99.8
76,Senate,1,858,1,97.3
76,Senate,1,1027,6,27.6
76,Senate,1,1131,1,92.7
76,Senate,1,1234,1,99.5
76,Senate,1,1263,1,92.4
76,Senate,1,1365,1,96.7
76,Senate,1,1370,2,91.9
76,Senate,1,1494,1,94.5
76,Senate,1,1497,3,99.9
76,Senate,1,1678,1,99.5
76,Senate,1,1760,1,99.6
76,Senate,1,1772,1,98.6
76,Senate,1,1986,1,99.8
76,Senate,1,2317,1,83.9
76,Senate,1,2391,1,90.4
76,Senate,1,2652,1,98.5
76,Senate,1,2702,1,99.3
76,Senate,1,2901,1,99.9
76,Senate,1,3347,1,97.6
76,Senate,1,3536,1,98.8
76,Senate,1,3544,9,75.1
76,Senate,1,3558,1,87.3
76,Senate,1,3603,1,98.9
76,Senate,1,3625,1,78.9
76,Senate,1,3783,1,94.5
76,Senate,1,3872,1,37.5
76,Senate,1,3882,6,13.5
76,Senate,1,3919,5,27.0
76,Senate,1,4126,1,80.7
76,Senate,1,4184,1,99.1
76,Senate,1,4227,1,99.3
76,Senate,1,4367,1,96.0
76,Senate,1,4418,1,100.0
76,Senate,1,4528,6,8.9
76,Senate,1,4545,1,95.4
76,Senate,1,4704,1,52.8
76,Senate,1,4949,1,99.0
76,Senate,1,4962,1,94.6
76,Senate,1,5274,1,91.0
76,Senate,1,5402,1,99.5
76,Senate,1,5562,1,99.9
76,Senate,1,5641,3,89.1
76,Senate,1,5739,1,56.1
76,Senate,1,5747,1,96.8
76,Senate,1,5823,1,90.9
76,Senate,1,5839,1,97.7
76,Senate,1,5945,1,92.9
76,Senate,1,6132,1,99.0
76,Senate,1,6293,1,99.2
76,Senate,1,6367,1,91.3
76,Senate,1,6394,1,53.6
76,Senate,1,6492,3,99.8
76,Senate,1,6549,1,90.0
76,Senate,1,6820,1,99.5
76,Senate,1,6856,1,99.4
76,Senate,1,6960,1,98.9
76,Senate,1,6991,1,97.0
76,Senate,1,7070,1,98.9
76,Senate,1,7126,3,99.6
76,Senate,1,7333,1,99.5
76,Senate,1,7473,1,95.0
76,Senate,1,7685,3,88.5
76,Senate,1,7780,1,85.5
76,Senate,1,7836,1,99.5
76,Senate,1,8138,1,99.7
76,Senate,1,8285,1,99.3
76,Senate,1,8287,1,99.7
76,Senate,1,8446,1,98.4
76,Senate,1,8476,1,97.8
76,Senate,1,8594,3,95.1
76,Senate,1,8613,9,91.2
76,Senate,1,8929,1,99.9
76,Senate,1,9152,6,32.8
76,Senate,1,9291,1,98.9
76,Senate,1,9303,1,99.8
76,Senate,1,9401,6,30.8
76,Senate,1,9439,1,71.7
76,Senate,1,9487,1,95.5
76,Senate,1,9538,1,91.6
76,Senate,1,9604,6,14.5
76,Senate,1,9626,1,98.0
76,Senate,1,9713,1,52.6
76,Senate,1,9782,1,97.1
76,Senate,1,9984,1,99.5
76,Senate,1,10047,6,22.0
76,Senate,1,10110,1,80.0
76,Senate,2,22,1,69.8
76,Senate,2,193,1,99.7
76,Senate,2,273,1,98.1
76,Senate,2,296,6,100.0
76,Senate,2,349,9,36.7
76,Senate,2,404,1,99.8
76,Senate,2,425,6,100.0
76,Senate,2,437,1,99.8
76,Senate,2,710,1,100.0
76,Senate,2,843,1,99.6
76,Senate,2,858,6,58.2
76,Senate,2,1027,6,100.0
76,Senate,2,1131,3,96.7
76,Senate,2,1234,1,95.4
76,Senate,2,1263,9,29.0
76,Senate,2,1365,9,26.0
76,Senate,2,1370,1,99.9
76,Senate,2,1494,6,90.1
76,Senate,2,1497,1,99.9
76,Senate,2,1678,3,99.3
76,Senate,2,1760,1,96.3
76,Senate,2,1772,1,67.6
76,Senate,2,1986,1,99.9
76,Senate,2,2317,6,100.0
76,Senate,2,2391,6,99.6
76,Senate,2,2652,9,65.0
76,Senate,2,2702,1,99.7
76,Senate,2,2901,1,99.9
76,Senate,2,3347,1,64.1
76,Senate,2,3536,6,15.8
