congress,chamber,rollnumber,icpsr,cast_code,prob
81,Senate,2,6137,1,
81,Senate,2,6151,1,
81,Senate,2,6242,1,
81,Senate,2,6260,2,
81,Senate,2,6293,1,
81,Senate,2,6346,1,
81,Senate,2,6475,1,
81,Senate,2,6525,1,
81,Senate,2,6796,1,
81,Senate,2,6820,1,
81,Senate,2,6836,1,
81,Senate,2,6856,1,
81,Senate,2,6939,7,
81,Senate,2,7020,1,
81,Senate,2,7070,1,
81,Senate,2,7229,7,
81,Senate,2,7333,1,
81,Senate,2,7780,7,
81,Senate,2,7958,1,
81,Senate,2,8138,1,
81,Senate,2,8185,1,
81,Senate,2,8270,1,
81,Senate,2,8635,1,
81,Senate,2,8666,1,
81,Senate,2,8708,7,
81,Senate,2,8764,1,
81,Senate,2,8883,1,
81,Senate,2,9152,1,
81,Senate,2,9210,1,
81,Senate,2,9291,1,
81,Senate,2,9303,2,
81,Senate,2,9374,1,
81,Senate,2,9401,1,
81,Senate,2,9538,1,
81,Senate,2,9604,1,
81,Senate,2,9713,2,
81,Senate,2,9865,1,
81,Senate,2,9998,1,
81,Senate,2,10110,1,
81,Senate,2,10163,1,
81,Senate,2,10294,7,
81,Senate,2,10450,1,
81,Senate,2,96738,1,
81,Senate,3,52,1,19.3
81,Senate,3,165,6,98.2
81,Senate,3,390,7,39.7
81,Senate,3,437,7,99.2
81,Senate,3,659,7,97.2
81,Senate,3,1021,6,48.4
81,Senate,3,1024,7,88.0
81,Senate,3,1027,7,67.3
81,Senate,3,1090,5,
81,Senate,3,1338,1,89.1
81,Senate,3,1365,1,40.9
81,Senate,3,1395,6,29.8
81,Senate,3,1489,1,70.5
81,Senate,3,1510,7,45.3
81,Senate,3,1659,6,96.8
81,Senate,3,1678,6,98.5
81,Senate,3,1831,7,98.8
81,Senate,3,1986,6,98.4
81,Senate,3,2066,1,45.8
81,Senate,3,2333,7,45.6
81,Senate,3,2656,1,40.7
81,Senate,3,2691,6,95.2
81,Senate,3,2702,6,98.9
81,Senate,3,2751,7,32.3
81,Senate,3,2803,7,79.0
81,Senate,3,2822,5,86.6
81,Senate,3,2838,1,86.8
81,Senate,3,2901,6,95.4
81,Senate,3,3110,6,45.3
81,Senate,3,3206,6,64.4
81,Senate,3,3349,6,86.9
81,Senate,3,3388,6,99.5
81,Senate,3,3536,6,94.5
81,Senate,3,3603,1,4.9
81,Senate,3,3731,7,99.4
81,Senate,3,3783,5,98.9
81,Senate,3,3882,6,57.0
81,Senate,3,4227,6,98.6
81,Senate,3,4321,1,45.4
81,Senate,3,4382,6,30.5
81,Senate,3,4418,6,99.1
81,Senate,3,4483,6,92.0
81,Senate,3,4520,6,89.4
81,Senate,3,4728,6,98.9
81,Senate,3,4747,6,97.6
81,Senate,3,4834,6,77.1
81,Senate,3,4922,1,93.2
81,Senate,3,4949,6,89.4
81,Senate,3,4979,6,98.9
81,Senate,3,5009,6,97.8
81,Senate,3,5122,6,99.5
81,Senate,3,5158,1,88.1
81,Senate,3,5213,6,98.6
81,Senate,3,5240,6,99.3
81,Senate,3,5343,6,56.5
81,Senate,3,5452,1,11.9
81,Senate,3,5539,7,99.1
81,Senate,3,5591,7,97.6
81,Senate,3,5739,6,73.5
81,Senate,3,5767,6,98.2
81,Senate,3,5823,6,98.5
81,Senate,3,5913,6,99.1
81,Senate,3,5944,1,67.8
81,Senate,3,6021,1,76.0
81,Senate,3,6107,6,97.0
81,Senate,3,6132,5,83.3
81,Senate,3,6137,6,41.7
81,Senate,3,6151,6,87.6
81,Senate,3,6242,6,99.0
81,Senate,3,6260,5,99.1
81,Senate,3,6293,6,98.4
81,Senate,3,6346,6,97.7
81,Senate,3,6475,5,98.7
81,Senate,3,6525,6,45.8
81,Senate,3,6796,6,44.5
81,Senate,3,6820,6,99.5
81,Senate,3,6836,6,98.8
81,Senate,3,6856,6,99.3
81,Senate,3,6939,7,32.7
81,Senate,3,7020,6,92.6
81,Senate,3,7070,6,98.6
81,Senate,3,7229,7,98.0
81,Senate,3,7333,6,99.5
81,Senate,3,7780,7,65.6
81,Senate,3,7958,6,80.2
81,Senate,3,8138,6,88.7
81,Senate,3,8185,6,65.0
81,Senate,3,8270,1,74.7
81,Senate,3,8635,6,66.1
81,Senate,3,8666,6,76.4
81,Senate,3,8708,7,79.9
81,Senate,3,8764,6,98.6
81,Senate,3,8883,6,93.7
81,Senate,3,9152,1,63.2
81,Senate,3,9210,6,94.1
81,Senate,3,9291,6,99.1
81,Senate,3,9303,5,97.9
81,Senate,3,9374,6,73.1
81,Senate,3,9401,6,78.8
81,Senate,3,9538,6,94.9
81,Senate,3,9604,1,40.9
81,Senate,3,9713,5,97.8
81,Senate,3,9865,1,60.6
81,Senate,3,9998,1,93.7
81,Senate,3,10110,1,33.9
81,Senate,3,10163,1,89.9
81,Senate,3,10294,7,98.5
81,Senate,3,10450,6,64.8
81,Senate,3,96738,1,6.6
81,Senate,4,52,1,89.9
81,Senate,4,165,6,96.0
81,Senate,4,390,7,99.6
81,Senate,4,437,7,99.8
81,Senate,4,659,7,99.9
81,Senate,4,1021,1,99.7
81,Senate,4,1024,7,100.0
81,Senate,4,1027,7,100.0
81,Senate,4,1090,7,
81,Senate,4,1338,1,99.8
81,Senate,4,1365,7,20.3
81,Senate,4,1395,1,99.6
81,Senate,4,1489,7,99.9
81,Senate,4,1510,7,98.9
81,Senate,4,1659,6,93.5
81,Senate,4,1678,6,97.3
81,Senate,4,1831,7,98.4
81,Senate,4,1986,6,97.5
81,Senate,4,2066,1,96.3
81,Senate,4,2333,7,92.8
81,Senate,4,2656,6,3.2
81,Senate,4,2691,6,99.8
81,Senate,4,2702,5,98.9
81,Senate,4,2751,7,99.3
81,Senate,4,2803,7,99.7
81,Senate,4,2822,5,75.6
81,Senate,4,2838,1,99.0
81,Senate,4,2901,6,92.1
81,Senate,4,3110,1,100.0
81,Senate,4,3206,1,99.5
81,Senate,4,3349,6,56.4
81,Senate,4,3388,6,99.9
81,Senate,4,3536,7,79.0
81,Senate,4,3603,1,18.6
81,Senate,4,3731,7,100.0
81,Senate,4,3783,5,99.5
81,Senate,4,3882,1,97.8
81,Senate,4,4227,6,97.7
81,Senate,4,4321,1,99.9
81,Senate,4,4382,1,99.9
81,Senate,4,4418,6,99.3
81,Senate,4,4483,6,75.0
81,Senate,4,4520,6,68.3
81,Senate,4,4728,6,99.8
81,Senate,4,4747,6,93.2
81,Senate,4,4834,1,96.1
81,Senate,4,4922,1,100.0
81,Senate,4,4949,1,34.2
81,Senate,4,4979,6,98.8
81,Senate,4,5009,6,97.0
81,Senate,4,5122,6,100.0
81,Senate,4,5158,1,100.0
81,Senate,4,5213,6,98.3
81,Senate,4,5240,6,100.0
81,Senate,4,5343,1,99.4
81,Senate,4,5452,1,42.1
81,Senate,4,5539,7,100.0
81,Senate,4,5591,7,100.0
81,Senate,4,5739,1,98.1
81,Senate,4,5767,6,97.5
81,Senate,4,5823,6,98.8
81,Senate,4,5913,6,99.6
81,Senate,4,5944,1,96.4
81,Senate,4,6021,1,100.0
81,Senate,4,6107,6,94.7
81,Senate,4,6132,5,56.6
81,Senate,4,6137,1,98.9
81,Senate,4,6151,6,76.2
81,Senate,4,6242,6,99.1
81,Senate,4,6260,5,99.9
81,Senate,4,6293,6,97.1
81,Senate,4,6346,6,98.4
81,Senate,4,6475,7,98.2
81,Senate,4,6525,1,99.0
81,Senate,4,6796,1,98.8
81,Senate,4,6820,6,100.0
81,Senate,4,6836,6,99.9
81,Senate,4,6856,5,99.8
81,Senate,4,6939,7,97.7
81,Senate,4,7020,6,59.7
81,Senate,4,7070,6,97.9
81,Senate,4,7229,7,96.5
81,Senate,4,7333,6,99.9
81,Senate,4,7780,7,99.3
81,Senate,4,7958,1,44.6
81,Senate,4,8138,1,20.8
81,Senate,4,8185,1,98.9
81,Senate,4,8270,1,99.7
81,Senate,4,8635,1,99.4
81,Senate,4,8666,1,93.4
81,Senate,4,8708,7,63.6
81,Senate,4,8764,6,98.2
81,Senate,4,8883,6,88.5
81,Senate,4,9152,1,100.0
81,Senate,4,9210,6,100.0
81,Senate,4,9291,6,99.5
81,Senate,4,9303,5,95.8
81,Senate,4,9374,1,95.1
81,Senate,4,9401,1,94.3
81,Senate,4,9538,1,27.6
81,Senate,4,9604,7,97.9
81,Senate,4,9713,5,99.7
81,Senate,4,9865,1,99.7
81,Senate,4,9998,1,99.9
81,Senate,4,10110,7,98.1
81,Senate,4,10163,1,100.0
81,Senate,4,10294,7,97.8
81,Senate,4,10450,1,89.6
81,Senate,4,96738,6,69.4
81,Senate,5,52,1,94.3
81,Senate,5,165,1,98.3
81,Senate,5,390,7,87.7
81,Senate,5,437,7,98.1
81,Senate,5,659,7,94.0
81,Senate,5,1021,1,84.5
81,Senate,5,1024,7,52.0
81,Senate,5,1027,2,75.1
81,Senate,5,1090,2,
81,Senate,5,1338,1,51.8
81,Senate,5,1365,7,87.5
81,Senate,5,1395,1,74.8
81,Senate,5,1489,7,74.1
81,Senate,5,1510,7,87.4
81,Senate,5,1659,1,97.6
81,Senate,5,1678,1,98.4
81,Senate,5,1831,7,98.5
81,Senate,5,1986,1,98.3
81,Senate,5,2066,1,87.4
81,Senate,5,2333,7,87.1
81,Senate,5,2656,6,10.8
81,Senate,5,2691,1,90.9
81,Senate,5,2702,2,98.5
81,Senate,5,2751,7,88.2
81,Senate,5,2803,7,66.8
81,Senate,5,2822,2,93.7
81,Senate,5,2838,1,55.3
81,Senate,5,2901,1,96.6
81,Senate,5,3110,1,78.9
81,Senate,5,3206,1,88.5
81,Senate,5,3349,1,95.7
81,Senate,5,3388,1,98.0
81,Senate,5,3536,1,97.5
81,Senate,5,3603,1,97.7
81,Senate,5,3731,7,97.0
81,Senate,5,3783,2,98.0
81,Senate,5,3882,1,88.4
81,Senate,5,4227,1,98.4
81,Senate,5,4321,1,83.4
81,Senate,5,4382,1,74.5
81,Senate,5,4418,1,98.2
81,Senate,5,4483,1,96.6
81,Senate,5,4520,1,96.0
81,Senate,5,4728,1,97.7
81,Senate,5,4747,1,98.2
81,Senate,5,4834,1,90.8
81,Senate,5,4922,6,59.4
81,Senate,5,4949,1,96.1
81,Senate,5,4979,1,98.4
81,Senate,5,5009,1,97.5
81,Senate,5,5122,1,98.1
81,Senate,5,5158,6,46.9
81,Senate,5,5213,1,98.2
81,Senate,5,5240,1,97.5
81,Senate,5,5343,1,87.5
81,Senate,5,5452,6,4.0
81,Senate,5,5539,7,96.5
81,Senate,5,5591,7,92.7
81,Senate,5,5739,1,89.9
81,Senate,5,5767,1,97.9
81,Senate,5,5823,1,97.9
81,Senate,5,5913,1,98.3
81,Senate,5,5944,1,75.3
81,Senate,5,6021,1,67.2
81,Senate,5,6107,1,97.4
81,Senate,5,6132,2,94.3
81,Senate,5,6137,1,82.2
81,Senate,5,6151,1,94.2
81,Senate,5,6242,1,98.3
81,Senate,5,6260,2,97.8
81,Senate,5,6293,1,98.4
81,Senate,5,6346,1,96.9
81,Senate,5,6475,2,98.4
81,Senate,5,6525,6,15.9
81,Senate,5,6796,1,83.5
81,Senate,5,6820,1,98.1
81,Senate,5,6836,1,97.1
81,Senate,5,6856,2,98.4
81,Senate,5,6939,7,91.1
81,Senate,5,7020,1,97.2
81,Senate,5,7070,1,98.4
81,Senate,5,7229,7,97.9
81,Senate,5,7333,1,98.2
81,Senate,5,7780,7,78.0
81,Senate,5,7958,1,93.1
81,Senate,5,8138,1,94.4
81,Senate,5,8185,1,89.9
81,Senate,5,8270,1,71.1
81,Senate,5,8635,1,88.5
81,Senate,5,8666,1,93.5
81,Senate,5,8708,7,91.9
81,Senate,5,8764,1,98.1
81,Senate,5,8883,1,96.0
81,Senate,5,9152,1,76.1
81,Senate,5,9210,1,82.0
81,Senate,5,9291,1,98.4
81,Senate,5,9303,2,98.1
81,Senate,5,9374,1,92.7
81,Senate,5,9401,1,93.0
81,Senate,5,9538,1,97.5
81,Senate,5,9604,7,89.1
81,Senate,5,9713,2,95.7
81,Senate,5,9865,6,19.3
81,Senate,5,9998,1,39.9
81,Senate,5,10110,7,90.7
81,Senate,5,10163,6,55.1
81,Senate,5,10294,7,98.3
81,Senate,5,10450,6,9.3
81,Senate,5,96738,6,4.3
81,Senate,6,52,1,98.9
81,Senate,6,165,2,99.5
81,Senate,6,390,1,96.3
81,Senate,6,437,7,99.2
