congress,chamber,rollnumber,icpsr,cast_code,prob
84,Senate,1,52,1,
84,Senate,1,142,1,
84,Senate,1,165,1,
84,Senate,1,437,1,
84,Senate,1,464,1,
84,Senate,1,546,1,
84,Senate,1,621,1,
84,Senate,1,645,1,
84,Senate,1,688,1,
84,Senate,1,1024,1,
84,Senate,1,1027,1,
84,Senate,1,1329,1,
84,Senate,1,1341,1,
84,Senate,1,1365,1,
84,Senate,1,1489,1,
84,Senate,1,1510,1,
84,Senate,1,1569,1,
84,Senate,1,1570,3,
84,Senate,1,1678,3,
84,Senate,1,1831,1,
84,Senate,1,2087,1,
84,Senate,1,2267,1,
84,Senate,1,2326,1,
84,Senate,1,2609,1,
84,Senate,1,2691,1,
84,Senate,1,2745,1,
84,Senate,1,2803,1,
84,Senate,1,2822,1,
84,Senate,1,2901,1,
84,Senate,1,2987,3,
84,Senate,1,3206,1,
84,Senate,1,3349,1,
84,Senate,1,3388,1,
84,Senate,1,3536,1,
84,Senate,1,3658,1,
84,Senate,1,3704,1,
84,Senate,1,3783,3,
84,Senate,1,4227,1,
84,Senate,1,4328,1,
84,Senate,1,4382,1,
84,Senate,1,4418,1,
84,Senate,1,4520,1,
84,Senate,1,4660,1,
84,Senate,1,4728,1,
84,Senate,1,4834,1,
84,Senate,1,4851,1,
84,Senate,1,4922,1,
84,Senate,1,4979,1,
84,Senate,1,5009,1,
84,Senate,1,5122,1,
84,Senate,1,5180,3,
84,Senate,1,5213,3,
84,Senate,1,5240,1,
84,Senate,1,5343,1,
84,Senate,1,5372,1,
84,Senate,1,5452,1,
84,Senate,1,5591,7,
84,Senate,1,5767,1,
84,Senate,1,5913,1,
84,Senate,1,5944,1,
84,Senate,1,5967,1,
84,Senate,1,6021,1,
84,Senate,1,6039,1,
84,Senate,1,6137,1,
84,Senate,1,6151,1,
84,Senate,1,6366,1,
84,Senate,1,6525,1,
84,Senate,1,6597,3,
84,Senate,1,6738,1,
84,Senate,1,6796,1,
84,Senate,1,6820,1,
84,Senate,1,6856,1,
84,Senate,1,6882,1,
84,Senate,1,7070,3,
84,Senate,1,7229,3,
84,Senate,1,7271,1,
84,Senate,1,7551,1,
84,Senate,1,7656,1,
84,Senate,1,7958,1,
84,Senate,1,8138,3,
84,Senate,1,8185,1,
84,Senate,1,8270,1,
84,Senate,1,8313,1,
84,Senate,1,8593,3,
84,Senate,1,8635,1,
84,Senate,1,8666,1,
84,Senate,1,8764,1,
84,Senate,1,8883,1,
84,Senate,1,9141,1,
84,Senate,1,9374,1,
84,Senate,1,9865,1,
84,Senate,1,9930,1,
84,Senate,1,10110,1,
84,Senate,1,10163,1,
84,Senate,1,10450,1,
84,Senate,1,99369,1,
84,Senate,1,99901,9,
84,Senate,2,52,6,99.9
84,Senate,2,142,6,99.7
84,Senate,2,165,6,98.8
84,Senate,2,437,6,95.2
84,Senate,2,464,6,99.3
84,Senate,2,546,6,99.9
84,Senate,2,621,6,99.9
84,Senate,2,645,6,98.9
84,Senate,2,688,6,97.5
84,Senate,2,1024,4,97.8
84,Senate,2,1027,6,99.5
84,Senate,2,1329,6,99.8
84,Senate,2,1341,6,99.3
84,Senate,2,1365,6,98.5
84,Senate,2,1489,6,99.3
84,Senate,2,1510,6,99.7
84,Senate,2,1569,6,99.9
84,Senate,2,1570,6,99.5
84,Senate,2,1678,2,1.9
84,Senate,2,1831,6,97.5
84,Senate,2,2087,6,99.3
84,Senate,2,2267,6,97.8
84,Senate,2,2326,6,97.8
84,Senate,2,2609,6,99.7
84,Senate,2,2691,6,77.2
84,Senate,2,2745,6,99.9
84,Senate,2,2803,6,98.6
84,Senate,2,2822,6,95.9
84,Senate,2,2901,6,95.2
84,Senate,2,2987,6,95.7
84,Senate,2,3206,4,99.9
84,Senate,2,3349,4,99.0
84,Senate,2,3388,6,85.5
84,Senate,2,3536,6,99.1
84,Senate,2,3658,6,95.4
84,Senate,2,3704,6,93.7
84,Senate,2,3783,4,97.1
84,Senate,2,4227,6,98.1
84,Senate,2,4328,6,96.7
84,Senate,2,4382,6,99.4
84,Senate,2,4418,6,93.0
84,Senate,2,4520,6,98.6
84,Senate,2,4660,6,98.5
84,Senate,2,4728,6,95.2
84,Senate,2,4834,6,99.9
84,Senate,2,4851,6,97.9
84,Senate,2,4922,6,96.3
84,Senate,2,4979,5,96.7
84,Senate,2,5009,6,94.2
84,Senate,2,5122,6,89.0
84,Senate,2,5180,7,98.5
84,Senate,2,5213,6,95.9
84,Senate,2,5240,6,87.3
84,Senate,2,5343,6,99.8
84,Senate,2,5372,6,99.9
84,Senate,2,5452,1,0.9
84,Senate,2,5591,1,45.5
84,Senate,2,5767,6,95.1
84,Senate,2,5913,6,96.7
84,Senate,2,5944,6,98.3
84,Senate,2,5967,6,87.3
84,Senate,2,6021,6,99.1
84,Senate,2,6039,6,99.5
84,Senate,2,6137,4,99.4
84,Senate,2,6151,6,96.3
84,Senate,2,6366,6,74.1
84,Senate,2,6525,6,99.5
84,Senate,2,6597,6,97.3
84,Senate,2,6738,1,85.8
84,Senate,2,6796,6,99.5
84,Senate,2,6820,6,89.0
84,Senate,2,6856,4,95.0
84,Senate,2,6882,6,81.9
84,Senate,2,7070,6,98.3
84,Senate,2,7229,6,99.0
84,Senate,2,7271,6,99.9
84,Senate,2,7551,4,99.8
84,Senate,2,7656,6,99.9
84,Senate,2,7958,6,97.8
84,Senate,2,8138,6,95.9
84,Senate,2,8185,6,99.9
84,Senate,2,8270,6,98.9
84,Senate,2,8313,6,95.4
84,Senate,2,8593,6,97.1
84,Senate,2,8635,6,99.9
84,Senate,2,8666,6,99.9
84,Senate,2,8764,6,95.4
84,Senate,2,8883,6,95.5
84,Senate,2,9141,6,96.4
84,Senate,2,9374,6,99.9
84,Senate,2,9865,6,99.5
84,Senate,2,9930,6,96.3
84,Senate,2,10110,6,99.8
84,Senate,2,10163,6,96.8
84,Senate,2,10450,6,99.5
84,Senate,2,99369,6,95.0
84,Senate,2,99901,6,99.8
84,Senate,3,52,6,99.9
84,Senate,3,142,6,100.0
84,Senate,3,165,6,95.6
84,Senate,3,437,6,67.5
84,Senate,3,464,6,100.0
84,Senate,3,546,6,100.0
84,Senate,3,621,6,100.0
84,Senate,3,645,6,100.0
84,Senate,3,688,6,93.5
84,Senate,3,1024,4,99.9
84,Senate,3,1027,6,100.0
84,Senate,3,1329,6,100.0
84,Senate,3,1341,6,100.0
84,Senate,3,1365,6,99.9
84,Senate,3,1489,6,100.0
84,Senate,3,1510,6,100.0
84,Senate,3,1569,6,99.2
84,Senate,3,1570,6,100.0
84,Senate,3,1678,4,94.1
84,Senate,3,1831,6,91.2
84,Senate,3,2087,6,100.0
84,Senate,3,2267,6,100.0
84,Senate,3,2326,6,99.4
84,Senate,3,2609,6,100.0
84,Senate,3,2691,6,24.7
84,Senate,3,2745,6,100.0
84,Senate,3,2803,6,100.0
84,Senate,3,2822,6,98.8
84,Senate,3,2901,6,96.2
84,Senate,3,2987,6,97.7
84,Senate,3,3206,4,100.0
84,Senate,3,3349,4,99.8
84,Senate,3,3388,4,50.4
84,Senate,3,3536,6,99.3
84,Senate,3,3658,6,99.8
84,Senate,3,3704,1,28.1
84,Senate,3,3783,6,78.0
84,Senate,3,4227,6,93.3
84,Senate,3,4328,6,74.7
84,Senate,3,4382,6,100.0
84,Senate,3,4418,6,80.2
84,Senate,3,4520,6,99.5
84,Senate,3,4660,6,100.0
84,Senate,3,4728,1,35.9
84,Senate,3,4834,6,99.9
84,Senate,3,4851,1,13.8
84,Senate,3,4922,6,99.9
84,Senate,3,4979,4,89.0
84,Senate,3,5009,6,91.5
84,Senate,3,5122,1,54.8
84,Senate,3,5180,7,86.6
84,Senate,3,5213,6,90.5
84,Senate,3,5240,1,64.1
84,Senate,3,5343,6,100.0
84,Senate,3,5372,6,100.0
84,Senate,3,5452,6,99.8
84,Senate,3,5591,1,93.3
84,Senate,3,5767,1,8.4
84,Senate,3,5913,1,21.0
84,Senate,3,5944,6,100.0
84,Senate,3,5967,6,41.1
84,Senate,3,6021,6,100.0
84,Senate,3,6039,6,100.0
