congress,chamber,rollnumber,icpsr,cast_code,prob
79,Senate,1,52,1,92.3
79,Senate,1,193,4,99.8
79,Senate,1,296,1,97.7
79,Senate,1,349,6,83.1
79,Senate,1,394,1,100.0
79,Senate,1,404,6,100.0
79,Senate,1,437,6,100.0
79,Senate,1,710,6,100.0
79,Senate,1,1021,1,99.9
79,Senate,1,1027,1,100.0
79,Senate,1,1071,1,100.0
79,Senate,1,1194,3,100.0
79,Senate,1,1317,3,99.5
79,Senate,1,1330,1,99.9
79,Senate,1,1338,1,100.0
79,Senate,1,1365,6,30.7
79,Senate,1,1489,1,100.0
79,Senate,1,1494,1,88.5
79,Senate,1,1634,4,97.8
79,Senate,1,1678,6,99.8
79,Senate,1,1986,6,99.9
79,Senate,1,2066,1,97.3
79,Senate,1,2822,7,96.4
79,Senate,1,2901,6,99.7
79,Senate,1,3110,1,100.0
79,Senate,1,3388,6,100.0
79,Senate,1,3536,6,93.8
79,Senate,1,3544,6,80.9
79,Senate,1,3625,4,98.4
79,Senate,1,3783,6,99.9
79,Senate,1,3872,6,100.0
79,Senate,1,3882,3,98.8
79,Senate,1,4184,6,99.9
79,Senate,1,4210,3,100.0
79,Senate,1,4227,6,99.8
79,Senate,1,4382,3,100.0
79,Senate,1,4418,6,100.0
79,Senate,1,4483,6,93.8
79,Senate,1,4949,6,87.7
79,Senate,1,4962,7,86.6
79,Senate,1,5009,6,100.0
79,Senate,1,5240,6,100.0
79,Senate,1,5402,1,6.5
79,Senate,1,5452,7,20.3
79,Senate,1,5823,6,99.6
79,Senate,1,5913,4,100.0
79,Senate,1,5945,4,91.9
79,Senate,1,6107,6,99.9
79,Senate,1,6132,6,81.9
79,Senate,1,6151,4,96.5
79,Senate,1,6242,6,100.0
79,Senate,1,6293,7,99.7
79,Senate,1,6346,6,98.9
79,Senate,1,6394,4,99.7
79,Senate,1,6525,1,99.6
79,Senate,1,6629,7,100.0
79,Senate,1,6751,4,
79,Senate,1,6800,6,99.9
79,Senate,1,6820,6,100.0
79,Senate,1,6836,4,100.0
79,Senate,1,7021,4,47.7
79,Senate,1,7070,6,99.8
79,Senate,1,7333,6,100.0
79,Senate,1,7685,4,98.3
79,Senate,1,7780,1,99.8
79,Senate,1,7826,1,99.2
79,Senate,1,7958,9,82.0
79,Senate,1,7960,1,99.2
79,Senate,1,8138,6,97.5
79,Senate,1,8320,4,99.7
79,Senate,1,8476,1,44.9
79,Senate,1,8635,3,99.8
79,Senate,1,8764,9,100.0
79,Senate,1,8929,6,99.6
79,Senate,1,9152,1,100.0
79,Senate,1,9210,6,100.0
