congress,chamber,rollnumber,icpsr,cast_code,prob
78,Senate,1,52,1,90.1
78,Senate,1,193,6,100.0
78,Senate,1,296,1,97.5
78,Senate,1,349,4,92.8
78,Senate,1,394,2,100.0
78,Senate,1,404,5,100.0
78,Senate,1,425,1,99.6
78,Senate,1,437,6,100.0
78,Senate,1,710,6,100.0
78,Senate,1,843,6,99.7
78,Senate,1,1021,1,100.0
78,Senate,1,1027,1,100.0
78,Senate,1,1071,2,100.0
78,Senate,1,1194,2,100.0
78,Senate,1,1317,1,99.6
78,Senate,1,1330,3,100.0
78,Senate,1,1338,1,100.0
78,Senate,1,1365,5,30.2
78,Senate,1,1494,1,91.3
78,Senate,1,1497,4,100.0
78,Senate,1,1634,6,99.6
78,Senate,1,1678,6,100.0
78,Senate,1,1760,6,97.7
78,Senate,1,1772,5,84.6
78,Senate,1,1986,6,100.0
78,Senate,1,2317,1,99.7
78,Senate,1,2391,1,98.1
78,Senate,1,2702,6,100.0
78,Senate,1,2822,6,98.2
78,Senate,1,2901,6,99.9
78,Senate,1,3110,1,100.0
78,Senate,1,3536,6,97.7
78,Senate,1,3544,6,92.4
78,Senate,1,3603,6,98.3
78,Senate,1,3625,7,99.8
78,Senate,1,3783,6,100.0
78,Senate,1,3872,6,100.0
78,Senate,1,3882,2,99.2
78,Senate,1,4184,6,100.0
78,Senate,1,4210,1,100.0
78,Senate,1,4227,6,100.0
78,Senate,1,4418,6,100.0
78,Senate,1,4528,1,98.7
78,Senate,1,4949,6,93.1
78,Senate,1,4962,9,90.4
78,Senate,1,5240,4,100.0
78,Senate,1,5402,9,N/A
78,Senate,1,5452,2,13.1
78,Senate,1,5739,1,99.3
78,Senate,1,5823,6,100.0
78,Senate,1,5945,6,97.6
78,Senate,1,6107,6,100.0
78,Senate,1,6132,6,87.3
78,Senate,1,6151,6,98.3
78,Senate,1,6242,6,100.0
78,Senate,1,6293,6,100.0
78,Senate,1,6367,1,98.5
78,Senate,1,6394,6,100.0
78,Senate,1,6525,1,99.8
78,Senate,1,6629,1,100.0
78,Senate,1,6800,6,100.0
